DETERMINISTIC SPLIT VERIFICATION REPORT
============================================================
Class 00 [adhirasam]: 35 Train, 5 Val, 10 Test (First test: 7dd072e690.jpg)
Class 42 [kakinada_khaja]: 35 Train, 5 Val, 10 Test (First test: 6d1eefd402.jpg)
Class 43 [kalakand]: 35 Train, 5 Val, 10 Test (First test: 8d9b69ad1a.jpg)
Class 44 [karela_bharta]: 35 Train, 5 Val, 10 Test (First test: 81bd77cea1.jpg)
Class 45 [kofta]: 35 Train, 5 Val, 10 Test (First test: 8a818620c3.jpg)
Class 46 [kuzhi_paniyaram]: 35 Train, 5 Val, 10 Test (First test: 8b336dc90e.jpg)
Class 47 [lassi]: 35 Train, 5 Val, 10 Test (First test: 6c7dd182f3.jpg)
Class 48 [ledikeni]: 35 Train, 5 Val, 10 Test (First test: 7357794aa9.jpg)
Class 49 [litti_chokha]: 35 Train, 5 Val, 10 Test (First test: 7d73f9dcd2.jpg)
Class 50 [lyangcha]: 35 Train, 5 Val, 10 Test (First test: 8acaf45139.jpg)
Class 51 [maach_jhol]: 35 Train, 5 Val, 10 Test (First test: 6cdcda7b77.jpg)
Class 52 [makki_di_roti_sarson_da_saag]: 35 Train, 5 Val, 10 Test (First test: 6b9efb70cb.jpg)
Class 53 [malapua]: 35 Train, 5 Val, 10 Test (First test: 8e79be15f3.jpg)
Class 54 [misi_roti]: 35 Train, 5 Val, 10 Test (First test: 8c7dfea30e.jpg)
Class 55 [misti_doi]: 35 Train, 5 Val, 10 Test (First test: 84d7393309.jpg)
Class 56 [modak]: 35 Train, 5 Val, 10 Test (First test: 8cf230c635.jpg)
Class 57 [mysore_pak]: 35 Train, 5 Val, 10 Test (First test: 8c4fc1ac21.jpg)
Class 58 [naan]: 35 Train, 5 Val, 10 Test (First test: 6ac2aad044.jpg)
Class 59 [navrattan_korma]: 35 Train, 5 Val, 10 Test (First test: 80b4ac15b4.jpg)
Class 60 [palak_paneer]: 35 Train, 5 Val, 10 Test (First test: 6ee5b36176.jpg)
Class 61 [paneer_butter_masala]: 35 Train, 5 Val, 10 Test (First test: 8a3a13fec0.jpg)
Class 62 [phirni]: 35 Train, 5 Val, 10 Test (First test: 8d6f3b6a3a.jpg)
Class 63 [pithe]: 35 Train, 5 Val, 10 Test (First test: 7a9807d2f5.jpg)
Class 64 [poha]: 35 Train, 5 Val, 10 Test (First test: 8a7a04c719.jpg)
Class 65 [poornalu]: 35 Train, 5 Val, 10 Test (First test: 7c3d49d79a.jpg)
Class 66 [pootharekulu]: 35 Train, 5 Val, 10 Test (First test: 7d77031d73.jpg)
Class 67 [qubani_ka_meetha]: 35 Train, 5 Val, 10 Test (First test: 7d1645add7.jpg)
Class 68 [rabri]: 35 Train, 5 Val, 10 Test (First test: 8c2ece11a1.jpg)
Class 69 [ras_malai]: 35 Train, 5 Val, 10 Test (First test: 7adddbdf8f.jpg)
Class 70 [rasgulla]: 35 Train, 5 Val, 10 Test (First test: 81be6155a9.jpg)
Class 71 [sandesh]: 35 Train, 5 Val, 10 Test (First test: 7da126f76d.jpg)
Class 72 [shankarpali]: 35 Train, 5 Val, 10 Test (First test: 7c080cdfc3.jpg)
Class 73 [sheer_korma]: 35 Train, 5 Val, 10 Test (First test: 7e0367db7c.jpg)
Class 74 [sheera]: 35 Train, 5 Val, 10 Test (First test: 70c90efdaa.jpg)
Class 75 [shrikhand]: 35 Train, 5 Val, 10 Test (First test: 6e999ed008.jpg)
Class 76 [sohan_halwa]: 35 Train, 5 Val, 10 Test (First test: 7d622e4078.jpg)
Class 77 [sohan_papdi]: 35 Train, 5 Val, 10 Test (First test: 83ccccbb44.jpg)
Class 78 [sutar_feni]: 35 Train, 5 Val, 10 Test (First test: 5f76c38072.jpg)
Class 79 [unni_appam]: 35 Train, 5 Val, 10 Test (First test: 7ca88e2d22.jpg)
